KeyName,KeyLastWriteTimestamp,DriverTimeStamp,DriverLastWriteTime,DriverName,DriverInBox,DriverIsKernelMode,DriverSigned,DriverCheckSum,DriverCompany,DriverId,DriverPackageStrongName,DriverType,DriverVersion,ImageSize,Inf,Product,ProductVersion,Service,WdfVersion
c:/windows/system32/drivers/serenum.sys,2024-06-30 15:47:46,2002-02-15 10:05:57,2022-05-07 05:19:04,serenum.sys,True,True,True,126156,Microsoft Corporation,dc651119024002dc758254f96a775d8128e79b80,,8650778,10.0.22621.1,65536,,Microsoft® Windows® Operating System,10.0.22621.1,serenum,
c:/windows/system32/drivers/serial.sys,2024-06-30 15:47:46,2040-10-18 01:14:07,2022-05-07 05:19:04,serial.sys,True,True,True,156502,Microsoft Corporation,13d43e79f76a7d9e8406811ca95a8114a6a2b37f,,8650778,10.0.22621.1,122880,,Microsoft® Windows® Operating System,10.0.22621.1,serial,
c:/windows/system32/drivers/sermouse.sys,2024-06-30 15:47:46,2041-06-27 08:07:50,2022-05-07 05:19:25,sermouse.sys,True,True,True,108847,Microsoft Corporation,a025821a6472d725d73c72642bdb7434a49cb056,,8650778,10.0.22621.1,65536,,Microsoft® Windows® Operating System,10.0.22621.1,sermouse,
c:/windows/system32/drivers/sfloppy.sys,2024-06-30 15:47:46,2013-07-04 08:18:20,2022-05-07 05:19:04,sfloppy.sys,True,True,True,85050,Microsoft Corporation,863fd83435a873e11c1093c829e9ef65127d0422,,8650778,10.0.22621.1,57344,,Microsoft® Windows® Operating System,10.0.22621.1,sfloppy,
c:/windows/system32/drivers/sgrmagent.sys,2024-06-30 15:47:46,1990-12-19 13:22:32,2024-05-23 02:18:20,sgrmagent.sys,True,True,True,189627,Microsoft Corporation,27b991edf91f222fa17d6615485c4c4c32a8eeb4,,8650778,10.0.22621.2506,114688,,Microsoft® Windows® Operating System,10.0.22621.2506,sgrmagent,
c:/windows/system32/drivers/sisraid2.sys,2024-06-30 15:47:46,2008-09-24 18:28:20,2022-05-07 05:19:04,sisraid2.sys,True,True,True,52212,Silicon Integrated Systems Corp.,0e9da8745a5f9e332eb79e4663785590106b3243,,8650778,5.1.1039.2600,57344,,Microsoft® Windows® Operating System,2.60.01,sisraid2,
c:/windows/system32/drivers/sisraid4.sys,2024-06-30 15:47:46,2008-10-01 21:56:04,2022-05-07 05:19:04,sisraid4.sys,True,True,True,105239,Silicon Integrated Systems,5e468750e501f3a30ba1e5e65ce0bbc828c6e32f,,8650778,5.1.1039.3600,98304,,Microsoft® Windows® Operating System,6.1.6918.0,sisraid4,
c:/windows/system32/drivers/smartsamd.sys,2024-06-30 15:47:46,2019-02-21 17:54:44,2022-05-07 05:19:04,smartsamd.sys,True,True,True,226501,Microsemi Corportation,841f7260b43d1f8b22404fe0b812ea93c1fbeec2,,8650778,1.50.1.0,221184,,"SmartRAID, SmartHBA PQI Storport Driver",1.50.1.0,smartsamd,
c:/windows/system32/drivers/spaceparser.sys,2024-06-30 15:47:46,2013-01-13 06:04:06,2022-05-07 05:20:02,spaceparser.sys,True,True,True,96288,Microsoft Corporation,703378ece1511e17d64f420169757b4575982421,,8650778,10.0.22621.1,81920,,Microsoft® Windows® Operating System,10.0.22621.1,spaceparser,
c:/windows/system32/drivers/spaceport.sys,2024-06-30 15:47:46,2054-01-13 20:38:31,2024-06-29 04:49:54,spaceport.sys,True,True,True,976119,Microsoft Corporation,224f5ae0d81ea40ec7f5010058b1bdb3f3c9c53c,spaceport.inf_amd64_20abd7752eb33d66,8651034,10.0.22621.3672,921600,spaceport.inf,Microsoft® Windows® Operating System,10.0.22621.1,spaceport,
c:/windows/system32/drivers/spatialgraphfilter.sys,2024-06-30 15:47:46,1997-08-25 13:48:14,2024-06-29 04:51:33,spatialgraphfilter.sys,True,True,True,169277,Microsoft Corporation,3a007f4e3251cbadf9db5d8cd6f61a8066411513,,8650778,10.0.22621.3672,122880,,Microsoft® Windows® Operating System,10.0.22621.3672,spatialgraphfilter,
